model,players,seed,games,wins,win_rate,avg_rank,avg_pins,avg_distance,avg_score,rank_histogram
search46seatbase85,4,20260625,6,3,50.0,2.5,8.5,6.833333333333333,1736.3333333333333,1:3 2:0 3:0 4:3
search46seatbase85,6,20260625,6,1,16.666666666666664,3.1666666666666665,8.0,8.0,1350.6666666666667,1:1 2:1 3:2 4:1 5:0 6:1
search46seatcorridor85,4,20260625,6,0,0.0,3.1666666666666665,7.666666666666667,11.333333333333334,1144.0,1:0 2:1 3:3 4:2
search46seatcorridor85,6,20260625,6,1,16.666666666666664,3.8333333333333335,7.333333333333333,14.166666666666666,1271.6666666666667,1:1 2:2 3:0 4:0 5:0 6:3
